metric,icc
mid_share,0.5300824338904404
fg3a_rate,0.3587043086562065
atb3_share,0.3088121129627346
pullup_share,0.2854994647566934
ra_share,0.2623453752000978
driving_share,0.2192044930698056
paint_fgm_share,0.21894863077733154
transition_share,0.18059958582837143
cutting_share,0.14095957209953075
tov_rate,0.1130058532275274
live_ball_tov_rate,0.09742712637822645
paint_share,0.09078369281671268
corner3_share,0.0834199565147592
ft_rate,0.0817279663223145
pace_poss,0.07391300214509258
putback_share,0.06226804875751334
secondchance_share,0.03799993923466537
off_tov_share,0.016929403505886197
transition_pts_per_poss,0.005692808815075688
assisted_rate,4.3586619199729624e-4
