metric,team,slope,ci_low,ci_high,trajectory,interval_spans_zero
transition_share,ATL,0.0012469865118013555,-6.573612135050191e-4,0.0031513342371077297,improving,TRUE
transition_share,CHI,-0.0012834738951857068,-0.0028222087850423533,2.552609946709395e-4,declining,TRUE
transition_share,CON,-2.1272659750862677e-4,-0.0020672606158160228,0.0016418074207987692,declining,TRUE
transition_share,DAL,-7.497107855167706e-4,-0.0026337468467768376,0.0011343252757432967,declining,TRUE
transition_share,GSV,-0.0010463518955732489,-0.0022565063876854433,1.6380259653894558e-4,declining,TRUE
transition_share,IND,-5.176500956570442e-4,-0.002247884157403506,0.0012125839660894174,declining,TRUE
transition_share,LAS,0.0010710578682539423,-0.0011168438934005093,0.0032589596299083937,improving,TRUE
transition_share,LVA,-7.858501887745332e-4,-0.002645170068735718,0.0010734696911866516,declining,TRUE
transition_share,MIN,6.848687801434196e-4,-0.0013713775224255414,0.0027411150827123805,improving,TRUE
transition_share,NYL,-6.784895617337677e-4,-0.002483094381030998,0.0011261152575634625,declining,TRUE
transition_share,PDX,6.449574660822889e-5,-0.0016350041302621294,0.0017639956234785873,improving,TRUE
transition_share,PHX,-3.454909875797177e-5,-0.0017857244765142554,0.001716626278998312,declining,TRUE
transition_share,SEA,8.866505215386847e-4,-8.719433922203047e-4,0.002645244435297674,improving,TRUE
transition_share,TOR,1.3615273063847372e-4,-0.0017866956968233115,0.002059001158100259,improving,TRUE
transition_share,WAS,-1.94859929346254e-4,-0.0018293501063342949,0.001439630247641787,declining,TRUE
transition_pts_per_poss,ATL,0.008933777575081927,-0.009384517315116851,0.027252072465280705,improving,TRUE
transition_pts_per_poss,CHI,-0.01105910031996989,-0.04308027067451216,0.020962070034572386,declining,TRUE
transition_pts_per_poss,CON,0.006638973345495075,-0.014048115168020604,0.027326061859010757,improving,TRUE
transition_pts_per_poss,DAL,0.012605244996549345,-0.010103521343491805,0.0353140113365905,improving,TRUE
transition_pts_per_poss,GSV,0.012472527472527476,-0.023584360716380637,0.048529415661435586,improving,TRUE
transition_pts_per_poss,IND,-0.01968043791956836,-0.049711477614024425,0.010350601774887704,declining,TRUE
transition_pts_per_poss,LAS,0.006914089746570561,-0.013311127196018211,0.027139306689159332,improving,TRUE
transition_pts_per_poss,LVA,0.0024143899578682156,-0.02213139237446848,0.02696017229020491,improving,TRUE
transition_pts_per_poss,MIN,-0.004920936912839745,-0.02662174713871386,0.01677987331303437,declining,TRUE
transition_pts_per_poss,NYL,-0.008842650103519683,-0.042425804413567934,0.024740504206528575,declining,TRUE
transition_pts_per_poss,PDX,-0.001916009204470743,-0.03585929220228722,0.03202727379334574,declining,TRUE
transition_pts_per_poss,PHX,-1.1752136752136034e-4,-0.023501553245701953,0.023266510510659234,declining,TRUE
transition_pts_per_poss,SEA,0.013700231866898532,-0.008745717839106642,0.0361461815729037,improving,TRUE
transition_pts_per_poss,TOR,-0.008964693519041354,-0.0377996778861504,0.019870290848067695,declining,TRUE
transition_pts_per_poss,WAS,-0.011158949745906265,-0.05075771380808769,0.028439814316275167,declining,TRUE
assisted_rate,ATL,-0.0010063072763493077,-0.005304828719525531,0.003292214166826916,declining,TRUE
assisted_rate,CHI,0.002778723618211905,-0.002663246084245722,0.008220693320669532,improving,TRUE
assisted_rate,CON,0.0025291303934396763,-0.0021239316644760978,0.00718219245135545,improving,TRUE
assisted_rate,DAL,-0.0069337267875909546,-0.013571742332145444,-2.957112430364647e-4,declining,FALSE
assisted_rate,GSV,-0.00220265793631051,-0.007832166418860772,0.003426850546239753,declining,TRUE
assisted_rate,IND,-0.006937357137626083,-0.011759906809553564,-0.002114807465698602,declining,FALSE
assisted_rate,LAS,0.0038289649461354675,-0.003117924465271347,0.010775854357542282,improving,TRUE
assisted_rate,LVA,0.0012610765027791697,-0.004147419050133302,0.006669572055691642,improving,TRUE
assisted_rate,MIN,0.00141850564900549,-0.0023926109695140882,0.005229622267525068,improving,TRUE
assisted_rate,NYL,-0.005648071847383867,-0.010032727113694403,-0.0012634165810733325,declining,FALSE
assisted_rate,PDX,0.0033817793455434243,-0.002450531014287623,0.009214089705374472,improving,TRUE
assisted_rate,PHX,1.1560973992715283e-4,-0.005386538608778167,0.0056177580886324725,improving,TRUE
assisted_rate,SEA,-0.0013804597209711718,-0.006684523161326565,0.003923603719384221,declining,TRUE
assisted_rate,TOR,0.004855829852351803,-8.628567280401432e-4,0.01057451643274375,improving,TRUE
assisted_rate,WAS,0.0017716524641331619,-0.004006593090535174,0.007549898018801498,improving,TRUE
live_ball_tov_rate,ATL,3.609242436497157e-4,-0.0017327295557392445,0.0024545780430386757,improving,TRUE
live_ball_tov_rate,CHI,0.001852672002405737,3.5170156403290236e-4,0.003353642440778572,improving,FALSE
live_ball_tov_rate,CON,-0.0012435262012542607,-0.0030098762851224568,5.228238826139358e-4,declining,TRUE
live_ball_tov_rate,DAL,9.304457577440577e-5,-0.00112371172805611,0.0013098008796049213,improving,TRUE
live_ball_tov_rate,GSV,0.0014363763276540329,-3.7022981856096166e-4,0.0032429824738690275,improving,TRUE
live_ball_tov_rate,IND,-0.0011521968738637464,-0.002617445790851101,3.130520431236086e-4,declining,TRUE
live_ball_tov_rate,LAS,-2.3642571936908198e-4,-0.0023603026728097293,0.0018874512340715654,declining,TRUE
live_ball_tov_rate,LVA,-4.933019013815417e-4,-0.0022080980689969925,0.0012214942662339093,declining,TRUE
live_ball_tov_rate,MIN,-1.762726179605011e-4,-0.0014756547188373244,0.001123109482916322,declining,TRUE
live_ball_tov_rate,NYL,2.7051389680351546e-4,-0.0014348088826292573,0.0019758366762362882,improving,TRUE
live_ball_tov_rate,PDX,6.658143778049562e-4,-0.0014794305414459754,0.002811059297055888,improving,TRUE
live_ball_tov_rate,PHX,0.0010475141247583062,-0.0011030270851446233,0.003198055334661236,improving,TRUE
live_ball_tov_rate,SEA,7.175571074102053e-4,-9.067010019726953e-4,0.002341815216793106,improving,TRUE
live_ball_tov_rate,TOR,2.4644234181367793e-4,-0.0013433379300156368,0.0018362226136429923,improving,TRUE
live_ball_tov_rate,WAS,-6.583587528487176e-4,-0.0030040784841110445,0.0016873609784136096,declining,TRUE
