player_id,player_name,team,position,gp,minutes,gmsc_per40,production_tier,rapm,o_rapm,d_rapm,rapm_tier,contested_shots_pg,deflections_pg,hustle_tier,off_rating,def_rating,net_rating,ts_pct,usg_pct
1630446,Michaela Onyenwere,WAS,F,28,734.2116666666667,8.809,fringe,NA,NA,NA,NA,NA,NA,NA,104.6,99.7,5,0.585,0.158
1643489,Antonia Delaere,MIN,F,35,414.95,8.705,below threshold,NA,NA,NA,NA,NA,NA,NA,108.1,97.6,10.6,0.632,0.097
1642808,JJ Quinerly,DAL,G,2,12.433333333333334,8.686,below threshold,NA,NA,NA,NA,NA,NA,NA,84.6,108.3,-23.7,0.333,0.107
1628899,Myisha Hines-Allen,IND,F,29,406.27,8.654,below threshold,NA,NA,NA,NA,NA,NA,NA,109.2,100.7,8.5,0.533,0.144
1642324,Kate Martin,LAS,G,15,103.57666666666668,8.573,below threshold,NA,NA,NA,NA,NA,NA,NA,110.6,116.5,-5.9,0.493,0.141
1643448,Nell Angloma,CON,F,27,271.95666666666665,8.487,below threshold,NA,NA,NA,NA,NA,NA,NA,96.1,100.4,-4.3,0.495,0.183
1630469,Marine Fauthoux,NYL,G,13,197.775,8.474,below threshold,NA,NA,NA,NA,NA,NA,NA,108.7,105.1,3.6,0.538,0.146
1641651,Jordan Horston,SEA,F,30,532.1183333333333,8.374,fringe,NA,NA,NA,NA,NA,NA,NA,100.3,101.8,-1.5,0.454,0.161
1642302,Isobel Borlase,ATL,G,32,402.14666666666665,8.335,fringe,NA,NA,NA,NA,NA,NA,NA,110.2,110.5,-0.3,0.516,0.162
1642809,Saniya Rivers,CON,G,27,591.8416666666667,8.239,fringe,NA,NA,NA,NA,NA,NA,NA,99.3,111.8,-12.5,0.402,0.187
1641649,Diamond Miller,CON,F,31,705.6416666666667,8.225,fringe,NA,NA,NA,NA,NA,NA,NA,98,108.3,-10.2,0.495,0.207
1641695,Ashten Prechtel,GSV,F,2,22.95,8.192,below threshold,NA,NA,NA,NA,NA,NA,NA,120.8,106.4,14.5,0.633,0.161
1627701,Temi Fagbenle,TOR,C,16,245.305,8.055,below threshold,NA,NA,NA,NA,NA,NA,NA,101.1,113.4,-12.2,0.52,0.149
204296,Rebecca Allen,NYL,G,19,326.0283333333333,7.901,below threshold,NA,NA,NA,NA,NA,NA,NA,112.3,114.1,-1.8,0.53,0.123
1643433,Raven Johnson,IND,G,30,348.09166666666664,7.883,fringe,NA,NA,NA,NA,NA,NA,NA,104.5,104.4,0.1,0.48,0.163
1627671,Rachel Banham,CHI,G,30,385.855,7.848,fringe,NA,NA,NA,NA,NA,NA,NA,97.9,99.5,-1.6,0.507,0.173
1631086,Lexie Hull,IND,G,33,642.445,7.745,fringe,NA,NA,NA,NA,NA,NA,NA,113.6,104.4,9.2,0.567,0.12
1628244,Sami Whitcomb,PHX,G,12,177.58333333333334,7.658,below threshold,NA,NA,NA,NA,NA,NA,NA,104.7,113.3,-8.6,0.475,0.149
1642293,Alissa Pili,LAS,F,3,17.783333333333335,7.648,below threshold,NA,NA,NA,NA,NA,NA,NA,88.4,110,-21.6,0.5,0.094
203828,Stefanie Dolson,SEA,C,35,553.6233333333333,7.557,below threshold,NA,NA,NA,NA,NA,NA,NA,97.7,106.1,-8.4,0.623,0.102
1630148,Jihyun Park,LAS,F,27,244.895,7.546,below threshold,NA,NA,NA,NA,NA,NA,NA,102.6,107.8,-5.3,0.504,0.122
204319,Jewell Loyd,LVA,G,32,865.135,7.462,fringe,NA,NA,NA,NA,NA,NA,NA,111.2,106.5,4.6,0.505,0.14
1641683,Holly Winterburn,PDX,G,20,180.81333333333333,7.411,below threshold,NA,NA,NA,NA,NA,NA,NA,93.6,118.5,-24.9,0.427,0.179
1643438,Marta Suarez,PHX,F,13,116.37833333333332,7.321,below threshold,NA,NA,NA,NA,NA,NA,NA,101.2,116.2,-14.9,0.551,0.173
203405,Kayla Alexander,TOR,C,4,40.343333333333334,7.238,below threshold,NA,NA,NA,NA,NA,NA,NA,90.2,130.5,-40.2,0.514,0.133
1628882,Lexie Brown,SEA,G,10,147.89666666666668,7.221,below threshold,NA,NA,NA,NA,NA,NA,NA,97.4,112.3,-15,0.663,0.112
1642804,Te-Hina Paopao,ATL,G,24,301.1666666666667,7.199,below threshold,NA,NA,NA,NA,NA,NA,NA,97,106,-9,0.482,0.152
1643449,Charlisse Leger-Walker,CON,G,31,714.1466666666666,7.108,fringe,NA,NA,NA,NA,NA,NA,NA,98.6,107.5,-8.9,0.46,0.16
1631118,Lexi Held,PHX,G,33,495.28333333333336,7.099,fringe,NA,NA,NA,NA,NA,NA,NA,99.7,105.3,-5.6,0.488,0.159
203024,Damiris Dantas,IND,C,12,98.28666666666666,7.081,below threshold,NA,NA,NA,NA,NA,NA,NA,107.8,114.7,-6.9,0.556,0.175
203855,Stephanie Talbot,LVA,F,34,570.7233333333334,7.03,fringe,NA,NA,NA,NA,NA,NA,NA,102.7,104.7,-2,0.502,0.105
