team_id,off_rating,def_rating,net_rating,pace,pie,gp,efg_pct,fta_rate,tm_tov_pct,oreb_pct,tricode,team_name,pts_pg,reb_pg,ast_pg,rank_off_rating,z_off_rating,rank_def_rating,z_def_rating,rank_net_rating,z_net_rating,rank_pace,z_pace,rank_pie,z_pie,rank_efg_pct,z_efg_pct,rank_tm_tov_pct,z_tm_tov_pct,rank_oreb_pct,z_oreb_pct,rank_fta_rate,z_fta_rate,strength_1,strength_2,weakness_1,weakness_2,primary_factor
1611661324,113.8,103.2,10.6,97.54,0.561,35,0.549,0.246,0.16,0.328,MIN,Minnesota Lynx,92.62857142857143,34.885714285714286,22.142857142857142,2,1.2529490263654541,2,1.2681568614527543,1,1.6486764840388293,5,0.4214900180173166,1,1.5467579680130914,2,1.2182811347980804,4,0.8249445311607915,3,0.5939515470621926,15,-1.5362714893973486,net_rating,pie,fta_rate,pace,fta_rate
1611661331,110.1,101.4,8.7,91.04,0.539,33,0.507,0.283,0.151,0.323,GSV,Golden State Valkyries,83.54545454545455,32.45454545454545,19.12121212121212,6,0.4627368563281492,1,1.747041270672675,2,1.353530254170069,15,-2.666058949427349,3,0.997908366460059,9,-0.40781444766546177,2,1.4019782705737809,7,0.4212912136138805,11,-0.6282515994979576,def_rating,tm_tov_pct,pace,fta_rate,tm_tov_pct
1611661325,115,108,7.1,99.31,0.534,33,0.562,0.332,0.183,0.326,IND,Indiana Fever,96.21212121212122,33.42424242424242,20.848484848484848,1,1.5092340544856617,8,-0.008868229800368409,3,1.1049860605963762,1,1.2622533522291697,4,0.8731698206525516,1,1.7215964341320338,11,-0.6496972473390686,4,0.5248874136828677,5,0.5742612276661024,efg_pct,off_rating,tm_tov_pct,def_rating,efg_pct
1611661330,110,105.6,4.5,97.75,0.521,32,0.496,0.352,0.171,0.367,ATL,Atlanta Dream,89.59375,35,20.875,7,0.44137977065146655,4,0.6296443158261948,4,0.7011017460391252,4,0.521241600042449,6,0.5488496015530324,12,-0.8336966240249609,6,0.11968107187824883,1,1.9407021479590243,3,1.0650827897738806,oreb_pct,fta_rate,efg_pct,tm_tov_pct,oreb_pct
1611661319,112.3,107.8,4.5,96.4,0.548,34,0.548,0.29,0.152,0.272,LVA,Las Vegas Aces,90.88235294117646,33.73529411764706,22.176470588235293,3,0.9325927412151956,6,0.044341149001845825,4,0.7011017460391252,9,-0.12001857011913264,2,1.2224377489135723,3,1.179564573310853,3,1.3378634106390044,14,-1.3398441875589,10,-0.4564640527602347,tm_tov_pct,pie,oreb_pct,fta_rate,oreb_pct
1611661313,112.1,108.1,4,96.51,0.532,34,0.542,0.316,0.185,0.324,NYL,New York Liberty,90.76470588235294,35.14705882352941,20.970588235294116,4,0.8898785698618272,9,-0.035472919201473635,6,0.6234316855473463,8,-0.06776774143930012,5,0.8232744023295486,4,0.94726520438749,12,-0.7779269672086219,6,0.4558232803035429,7,0.18160397797987873,efg_pct,off_rating,tm_tov_pct,pace,efg_pct
1611661321,110.8,107.4,3.3,95.72,0.515,34,0.521,0.253,0.147,0.307,DAL,Dallas Wings,89.02941176470588,34,21.970588235294116,5,0.6122364560649372,5,0.1507599066062705,7,0.5146936008588556,13,-0.4430236928671932,7,0.3991633465840236,8,0.13421741315571892,1,1.6584377103128873,8,-0.1312218534207179,14,-1.3644839426596256,tm_tov_pct,off_rating,fta_rate,pace,tm_tov_pct
1611661322,101.7,103.2,-1.4,94.17,0.507,32,0.484,0.391,0.199,0.359,WAS,Washington Mystics,81.84375,37.65625,19.25,14,-1.331258340513297,2,1.2681568614527543,8,-0.2154049677638671,14,-1.1792853697193812,8,0.1995816732920118,14,-1.2982953618716873,15,-1.6755350062954943,2,1.664445614441725,1,2.0221848358840506,fta_rate,oreb_pct,tm_tov_pct,off_rating,fta_rate
1611661329,105.5,108.3,-2.8,99.12,0.479,34,0.499,0.34,0.16,0.279,CHI,Chicago Sky,87.70588235294117,32.73529411764706,21.5,11,-0.5196890847993091,10,-0.08868229800368788,9,-0.4328811371408483,3,1.172001920873096,10,-0.4989541832300295,11,-0.7175469395632793,4,0.8249445311607915,13,-1.0981197207312632,4,0.7705898525092142,pace,tm_tov_pct,oreb_pct,efg_pct,oreb_pct
1611661317,104.4,108.9,-4.4,96.02,0.48,35,0.503,0.358,0.172,0.271,PHX,Phoenix Mercury,83.85714285714286,31.457142857142856,19.942857142857143,12,-0.7546170272428309,12,-0.24831043441033057,10,-0.6814253307145413,12,-0.3005214328312869,9,-0.47400647406852797,10,-0.5626806936143706,7,0.055566211943474005,15,-1.3743762542485625,2,1.2123292584062144,fta_rate,tm_tov_pct,oreb_pct,off_rating,oreb_pct
1611661320,107.5,112.8,-5.3,99.18,0.471,32,0.53,0.291,0.178,0.289,LAS,Los Angeles Sparks,89.125,31.09375,22.125,8,-0.09254737126563106,14,-1.285893321053491,11,-0.8212314395997433,2,1.2005023728802786,11,-0.6985358565220413,5,0.48266646654076367,8,-0.32912294766518563,12,-0.7527990538346411,9,-0.43192297465484575,pace,efg_pct,def_rating,net_rating,oreb_pct
1611661327,106.8,112.6,-5.8,96.09,0.448,33,0.529,0.272,0.189,0.303,PDX,Portland Fire,86.78787878787878,29.90909090909091,20.848484848484848,10,-0.24204697100241898,13,-1.232683942251277,12,-0.8989015000915224,11,-0.2672709054895716,14,-1.2723331672365739,6,0.4439499050535365,14,-1.0343864069477282,9,-0.2693501201793675,13,-0.898203458657235,efg_pct,off_rating,pie,def_rating,tm_tov_pct
1611661328,102.6,108.8,-6.2,97.26,0.459,35,0.496,0.281,0.182,0.298,SEA,Seattle Storm,83.37142857142857,33.4,19.314285714285713,13,-1.1390445694231435,11,-0.22170574500922158,13,-0.9610375484849456,7,0.28848790865046897,12,-0.9979083664600575,12,-0.8336966240249609,10,-0.585582387404292,10,-0.4420104536276795,12,-0.6773337557087342,pace,def_rating,off_rating,pie,efg_pct
1611661332,107.5,115.5,-8,97.45,0.451,33,0.522,0.305,0.179,0.291,TOR,Toronto Tempo,87.63636363636364,31.181818181818183,20.12121212121212,8,-0.09254737126563106,15,-2.004219934883374,14,-1.2406497662553502,6,0.3787393400065427,13,-1.1974900397520694,7,0.17293397464294613,9,-0.39323780759996224,11,-0.6837349204553164,8,-0.08834788117940005,pace,efg_pct,def_rating,net_rating,oreb_pct
1611661323,98.9,107.9,-9,96.23,0.44,31,0.475,0.319,0.185,0.325,CON,Connecticut Sun,79.6774193548387,32.935483870967744,19.225806451612904,15,-1.9292567394604456,7,0.017736459600736817,15,-1.395989887238908,10,-0.20076985080614776,15,-1.4719148405285856,15,-1.6467444152567319,12,-0.7779269672086219,5,0.4903553469932053,6,0.25522721229604567,oreb_pct,fta_rate,off_rating,efg_pct,efg_pct
