season,game_id,team_id,team_slug,team_abbreviation,team_display_name,home_away,athlete_id,athlete_uid,athlete_guid,athlete_display_name,athlete_short_name,athlete_first_name,athlete_last_name,athlete_jersey,athlete_position,athlete_headshot,starter,did_not_play,active,ejected,reason
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,4432844,s:40~l:59~a:4432844,102a878e-4ee3-3721-83a7-57426cdf2db0,Aubrey Griffin,A. Griffin,NA,NA,22,F,NA,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,4337216,s:40~l:59~a:4337216,028a2e24-6757-6ce1-a525-47986bfe3c30,Han Xu,H. Xu,NA,NA,21,C,https://a.espncdn.com/i/headshots/wnba/players/full/4337216.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,2327695,s:40~l:59~a:2327695,cea6f839-f848-4ca0-d19f-600d88fd00db,Rebekah Gardner,R. Gardner,NA,NA,7,G,https://a.espncdn.com/i/headshots/wnba/players/full/2327695.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,2566110,s:40~l:59~a:2566110,20b0ee3b-59ad-3c6f-962a-f3ee42f9d785,Julie Vanloo,J. Vanloo,NA,NA,53,G,https://a.espncdn.com/i/headshots/wnba/players/full/2566110.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,4281929,s:40~l:59~a:4281929,d4c403bb-a2c8-ed6b-aeaa-c290d8afea9b,Satou Sabally,S. Sabally,NA,NA,0,F,https://a.espncdn.com/i/headshots/wnba/players/full/4281929.png,FALSE,TRUE,FALSE,FALSE,CYST SURGERY
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,3102133,s:40~l:59~a:3102133,baf2f1cb-234e-740a-0af2-c8a82626b685,Rebecca Allen,R. Allen,NA,NA,9,G,https://a.espncdn.com/i/headshots/wnba/players/full/3102133.png,FALSE,TRUE,FALSE,FALSE,LEFT LEG INJURY
2026,401856890,9,new-york-liberty,NY,New York Liberty,NA,4066533,s:40~l:59~a:4066533,3b205f4b-7b5d-0115-3a92-f8f35ff473ed,Sabrina Ionescu,S. Ionescu,NA,NA,20,G,https://a.espncdn.com/i/headshots/wnba/players/full/4066533.png,FALSE,TRUE,FALSE,FALSE,LEFT FOOT
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4898384,s:40~l:59~a:4898384,8c14caa5-a9c7-3508-aca8-567930a6d9b7,Kiki Iriafen,K. Iriafen,NA,NA,44,F,https://a.espncdn.com/i/headshots/wnba/players/full/4898384.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4398911,s:40~l:59~a:4398911,0390235b-d63b-9a48-470f-dc80c05a20fa,Shakira Austin,S. Austin,NA,NA,0,C,https://a.espncdn.com/i/headshots/wnba/players/full/4398911.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4433524,s:40~l:59~a:4433524,40260700-49ec-36b3-8b20-339722b76b02,Sonia Citron,S. Citron,NA,NA,22,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433524.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4704180,s:40~l:59~a:4704180,a9d1aaa5-c146-30df-9cf6-927d1b93d32c,Georgia Amoore,G. Amoore,NA,NA,8,G,https://a.espncdn.com/i/headshots/wnba/players/full/4704180.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,5122345,s:40~l:59~a:5122345,118f7a39-0568-39be-84c0-dbabfcdba438,Cassandre Prosper,C. Prosper,NA,NA,18,G,https://a.espncdn.com/i/headshots/wnba/players/full/5122345.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4433411,s:40~l:59~a:4433411,3a83740b-47c1-36bc-b0d6-b709f5a2723c,Angela Dugalic,A. Dugalic,NA,NA,32,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433411.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,5105737,s:40~l:59~a:5105737,4e73e15c-bb39-3a82-b4bf-8c71fae48868,Lauren Betts,L. Betts,NA,NA,51,C,https://a.espncdn.com/i/headshots/wnba/players/full/5105737.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4433523,s:40~l:59~a:4433523,d977afa5-f2e8-3294-abbb-57ee9f5cac2f,Rori Harmon,R. Harmon,NA,NA,3,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433523.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,4433815,s:40~l:59~a:4433815,270986ef-94a3-3efb-8688-8b4b7c5931e8,Lucy Olsen,L. Olsen,NA,NA,33,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433815.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,16,washington-mystics,WSH,Washington Mystics,NA,5278157,s:40~l:59~a:5278157,46f20148-e1c5-376b-b75b-75da707b1e4f,Alex Wilson,A. Wilson,NA,NA,4,G,https://a.espncdn.com/i/headshots/wnba/players/full/5278157.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,4398768,s:40~l:59~a:4398768,d802dec8-8c30-07a9-d761-20123ed66d35,Nyara Sabally,N. Sabally,NA,NA,8,F,https://a.espncdn.com/i/headshots/wnba/players/full/4398768.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,2569044,s:40~l:59~a:2569044,6d7c1268-3b3a-65da-d424-2b536d7c2e82,Temi Fagbenle,T. Fagbenle,NA,NA,14,C,https://a.espncdn.com/i/headshots/wnba/players/full/2569044.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,2988756,s:40~l:59~a:2988756,b8564ef4-7521-235a-57d1-0262eb11d1fb,Brittney Sykes,B. Sykes,NA,NA,20,G,https://a.espncdn.com/i/headshots/wnba/players/full/2988756.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,3904576,s:40~l:59~a:3904576,1bce47f0-de18-db37-1f24-f707afb155a8,Marina Mabrey,M. Mabrey,NA,NA,3,G,https://a.espncdn.com/i/headshots/wnba/players/full/3904576.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,4001679,s:40~l:59~a:4001679,1edef572-e3fd-f1c7-db55-e7c6fee64967,Julie Allemand,J. Allemand,NA,NA,22,G,https://a.espncdn.com/i/headshots/wnba/players/full/4001679.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,3910470,s:40~l:59~a:3910470,19a25a88-6e22-a45f-ebff-dcb85b51a139,Maria Conde,M. Conde,NA,NA,10,F,NA,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,4434020,s:40~l:59~a:4434020,3c773812-ecda-3552-9481-5ddc79600200,Teonni Key,T. Key,NA,NA,7,F,https://a.espncdn.com/i/headshots/wnba/players/full/4434020.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,5345444,s:40~l:59~a:5345444,2a592264-7e41-3bf1-b764-9e18529bb8a7,Laura Juskaite,L. Juskaite,NA,NA,2,F,https://a.espncdn.com/i/headshots/wnba/players/full/5345444.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,3904479,s:40~l:59~a:3904479,eaaaed8e-7415-590e-e7f1-8899752e9050,Mariella Fasoula,M. Fasoula,NA,NA,34,C,https://a.espncdn.com/i/headshots/wnba/players/full/3904479.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,3142327,s:40~l:59~a:3142327,01ff0298-57dc-dfde-af86-c862df599b40,Kia Nurse,K. Nurse,NA,NA,11,G,https://a.espncdn.com/i/headshots/wnba/players/full/3142327.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,4399342,s:40~l:59~a:4399342,f677901a-b073-884f-f964-8f95976f58b0,Lexi Held,L. Held,NA,NA,12,G,https://a.espncdn.com/i/headshots/wnba/players/full/4399342.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856891,131935,toronto-tempo,TOR,Toronto Tempo,NA,4565505,s:40~l:59~a:4565505,527099c9-b18c-356a-a939-b950af0427c5,Kiki Rice,K. Rice,NA,NA,1,G,https://a.espncdn.com/i/headshots/wnba/players/full/4565505.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,2529622,s:40~l:59~a:2529622,3b2b97b8-5d06-3965-8e22-0e04b6b268fc,Kayla Thornton,K. Thornton,NA,NA,5,F,https://a.espncdn.com/i/headshots/wnba/players/full/2529622.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,3142328,s:40~l:59~a:3142328,868dcf7a-2db5-cda3-48ae-7ee29c87f2c5,Gabby Williams,G. Williams,NA,NA,1,F,https://a.espncdn.com/i/headshots/wnba/players/full/3142328.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,2590093,s:40~l:59~a:2590093,ff02b428-605d-3fb0-7683-98ff75fa0329,Kiah Stokes,K. Stokes,NA,NA,41,C,https://a.espncdn.com/i/headshots/wnba/players/full/2590093.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,1054,s:40~l:59~a:1054,026e19c6-c575-58c9-3a66-5d0964edef64,Tiffany Hayes,T. Hayes,NA,NA,15,G,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4398935,s:40~l:59~a:4398935,3cfb5941-68e7-722a-4525-aca3d5bdfb66,Veronica Burton,V. Burton,NA,NA,22,G,https://a.espncdn.com/i/headshots/wnba/players/full/4398935.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4257500,s:40~l:59~a:4257500,a71dab93-a05b-f098-7c00-004a1030a9d5,Cecilia Zandalasini,C. Zandalasini,NA,NA,24,F,https://a.espncdn.com/i/headshots/wnba/players/full/4257500.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4432834,s:40~l:59~a:4432834,e21b7842-97eb-3a69-9c04-699772356040,Laeticia Amihere,L. Amihere,NA,NA,3,F,https://a.espncdn.com/i/headshots/wnba/players/full/4432834.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4790264,s:40~l:59~a:4790264,ea04a1f9-4ef0-3d47-8345-30f7da76a396,Janelle Salaun,J. Salaun,NA,NA,13,F,https://a.espncdn.com/i/headshots/wnba/players/full/4790264.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4065780,s:40~l:59~a:4065780,5c313370-69c4-be9d-a5b7-a4c005fc5ad7,Kaila Charles,K. Charles,NA,NA,6,G,https://a.espncdn.com/i/headshots/wnba/players/full/4065780.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4398577,s:40~l:59~a:4398577,164cc132-7996-c486-f786-778530375a18,Miela Sowah,M. Sowah,NA,NA,7,G,https://a.espncdn.com/i/headshots/wnba/players/full/4398577.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,4899328,s:40~l:59~a:4899328,29fe074b-4d7f-392e-b8e5-e5e44e035f0d,Kaitlyn Chen,K. Chen,NA,NA,2,G,https://a.espncdn.com/i/headshots/wnba/players/full/4899328.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,129689,golden-state-valkyries,GS,Golden State Valkyries,NA,5106170,s:40~l:59~a:5106170,ff2fed2b-b1b1-3cd8-9314-ba1651ba0e81,Ndjakalenga Mwenentanda,N. Mwenentanda,NA,NA,32,G,NA,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,4432830,s:40~l:59~a:4432830,2903f847-ebab-3bc3-923d-1c68c55ec64b,Jordan Horston,J. Horston,NA,NA,23,F,https://a.espncdn.com/i/headshots/wnba/players/full/4432830.png,TRUE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,2529183,s:40~l:59~a:2529183,f3e8f659-99fc-fc55-0f62-a95500b0074a,Stefanie Dolson,S. Dolson,NA,NA,31,C,https://a.espncdn.com/i/headshots/wnba/players/full/2529183.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,5220150,s:40~l:59~a:5220150,f21b6680-508f-39c7-91a2-fc38d8d247e7,Dominique Malonga,D. Malonga,NA,NA,14,C,https://a.espncdn.com/i/headshots/wnba/players/full/5220150.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
