game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,reason,active,athlete_jersey,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,5345478,Eliska Joklova,8,Lynx,Minnesota,Lynx,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,11,E. Joklova,https://a.espncdn.com/i/headshots/wnba/players/full/5345478.png,Guard,G,Minnesota Lynx,s:40~l:59~t:8,minnesota-lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,MIN,266092,79bc43,away,FALSE,81,20,Dream,Atlanta,Atlanta Dream,ATL,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,e31837,5091cc,89
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,4398915,Naz Hillmon,20,Dream,Atlanta,Dream,30,3,9,1,5,0,0,1,2,3,1,0,0,4,0,+21,7,TRUE,FALSE,FALSE,COACH'S DECISION,FALSE,00,N. Hillmon,https://a.espncdn.com/i/headshots/wnba/players/full/4398915.png,Forward,F,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,4433402,Angel Reese,20,Dream,Atlanta,Dream,33,5,9,0,0,5,8,3,8,11,2,2,1,5,5,+15,15,TRUE,FALSE,FALSE,COACH'S DECISION,FALSE,5,A. Reese,https://a.espncdn.com/i/headshots/wnba/players/full/4433402.png,Forward,F,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,3058901,Allisha Gray,20,Dream,Atlanta,Dream,35,8,16,6,11,1,1,1,10,11,2,3,0,2,2,+17,23,TRUE,FALSE,FALSE,COACH'S DECISION,FALSE,15,A. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/3058901.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,3142250,Jordin Canada,20,Dream,Atlanta,Dream,36,6,12,2,6,2,3,0,4,4,10,0,1,2,2,+5,16,TRUE,FALSE,FALSE,COACH'S DECISION,FALSE,3,J. Canada,https://a.espncdn.com/i/headshots/wnba/players/full/3142250.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,4398674,Rhyne Howard,20,Dream,Atlanta,Dream,35,6,16,2,9,2,2,0,1,1,3,2,1,0,3,+5,16,TRUE,FALSE,FALSE,COACH'S DECISION,FALSE,10,R. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/4398674.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,869,DeWanna Bonner,20,Dream,Atlanta,Dream,17,3,5,1,3,0,0,2,2,4,2,1,0,2,1,-14,7,FALSE,FALSE,FALSE,COACH'S DECISION,FALSE,24,D. Bonner,https://a.espncdn.com/i/headshots/wnba/players/full/869.png,Forward,F,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,5017721,Sika Kone,20,Dream,Atlanta,Dream,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,23,S. Kone,https://a.espncdn.com/i/headshots/wnba/players/full/5017721.png,Forward,F,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,5108587,Madina Okot,20,Dream,Atlanta,Dream,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,11,M. Okot,https://a.espncdn.com/i/headshots/wnba/players/full/5108587.png,Center,C,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,3058893,Shatori Walker-Kimbrough,20,Dream,Atlanta,Dream,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,33,S. Walker-Kimbrough,https://a.espncdn.com/i/headshots/wnba/players/full/3058893.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,4433431,Te-Hina Paopao,20,Dream,Atlanta,Dream,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,+3,0,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,2,T. Paopao,https://a.espncdn.com/i/headshots/wnba/players/full/4433431.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
401857186,2026,2,2026-08-30,2026-08-30T19:00:00Z,5208983,Isobel Borlase,20,Dream,Atlanta,Dream,8,2,2,1,1,0,0,1,2,3,0,0,0,3,0,-6,5,FALSE,FALSE,FALSE,COACH'S DECISION,TRUE,20,I. Borlase,https://a.espncdn.com/i/headshots/wnba/players/full/5208983.png,Guard,G,Atlanta Dream,s:40~l:59~t:20,atlanta-dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,ATL,e31837,5091cc,home,TRUE,89,8,Lynx,Minnesota,Minnesota Lynx,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,266092,79bc43,81
