season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,Road,Road,AWAY,Away Record,NA,road,13-7,NA
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,vs. Div.,DIV,DIV,Division Record,NA,vsdiv,0-0,NA
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,vs. Conf.,CONF,CONF,Conference Record,NA,vsconf,11-5,NA
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,Last Ten Games,Last Ten Games,L10,Record last 10 games,Last Ten,lasttengames,7-3,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,91.0,90.95
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,97.0,97
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,clincher,Clincher,CLINCH,Clinched Playoff Berth,CLINCH,clincher,x,1
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,+6.1,6.09999999999999
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,-,0
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.722,0.7222222
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,losses,Losses,L,Losses,L,losses,14,14
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,2,2
