season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,43.9,43.9
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,471-1377,NA
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,34.2,34.2
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,1335-1685,NA
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,79.2,79.2
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,1068,1068
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,DD2,doubleDouble,Double Double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots",2,2
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,TD3,tripleDouble,Triple Double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,1.6,1.6
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,STL/TO,stealTurnoverRatio,Steal To Turnover Ratio,The number of steals per turnover,0.6,0.6
