game_id,season,period,clock,team_id,team_tricode,person_id,player_name,action_type,sub_type,shot_result,shot_value,shot_distance,x_legacy,y_legacy,description,score_home,score_away
1022600001,2026,1,PT02M44.00S,1611661313,NYL,1629566,Han,Missed Shot,Jump Shot,Missed,3,0,228,35,MISS Xu 3PT Jump Shot,,
1022600001,2026,1,PT02M32.00S,1611661313,NYL,1627668,Stewart,Made Shot,Driving Finger Roll Layup Shot,Made,2,3,-23,23,Stewart 3' Driving Finger Roll Layup (10 PTS),29,10
1022600001,2026,1,PT02M12.00S,1611661323,CON,1631135,Nelson-Ododa,Missed Shot,Layup Shot,Missed,2,4,35,22,MISS Nelson-Ododa 4' Layup,,
1022600001,2026,1,PT01M43.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Driving Layup Shot,Missed,2,5,-51,12,MISS Leger-Walker 5' Driving Layup,,
1022600001,2026,1,PT01M39.00S,1611661323,CON,1629568,Burke,Missed Shot,Driving Hook Shot,Missed,2,5,29,42,MISS Burke 5' Driving Hook Shot,,
1022600001,2026,1,PT01M21.00S,1611661313,NYL,1629566,Han,Missed Shot,Jump Shot,Missed,3,24,-238,36,MISS Xu 24' 3PT Jump Shot,,
1022600001,2026,1,PT01M14.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Running Jump Shot,Missed,3,0,-194,129,MISS Leger-Walker 3PT Running Jump Shot,,
1022600001,2026,1,PT01M00.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Pullup Jump shot,Missed,2,7,24,64,MISS Leger-Walker 7' Pullup Jump Shot,,
1022600001,2026,1,PT00M48.80S,1611661313,NYL,1629566,Han,Made Shot,Driving Hook Shot,Made,2,4,-3,35,Xu 4' Driving Hook Shot (2 PTS) (Vanloo 2 AST),34,11
1022600001,2026,1,PT00M39.60S,1611661323,CON,1642817,Van Lith,Made Shot,Turnaround Jump Shot,Made,2,7,-51,50,Van Lith 7' Turnaround Jump Shot (2 PTS),34,13
1022600001,2026,1,PT00M20.90S,1611661313,NYL,1627673,Jones,Made Shot,Cutting Layup Shot,Made,2,3,11,33,Jones 3' Cutting Layup Shot (5 PTS) (Vanloo 3 AST),36,13
1022600001,2026,1,PT00M02.50S,1611661323,CON,1643429,Kneepkens,Missed Shot,Turnaround Fadeaway shot,Missed,2,15,149,1,MISS Kneepkens 15' Turnaround Fadeaway Shot,,
1022600001,2026,2,PT09M40.00S,1611661313,NYL,204335,Laney-Hamilton,Made Shot,Pullup Jump shot,Made,2,16,128,100,Laney-Hamilton 16' Pullup Jump Shot (2 PTS) (Astier 3 AST),38,13
1022600001,2026,2,PT09M14.00S,1611661323,CON,1642817,Van Lith,Missed Shot,Pullup Jump shot,Missed,2,17,6,165,MISS Van Lith 17' Pullup Jump Shot,,
1022600001,2026,2,PT08M49.00S,1611661313,NYL,1629546,Johannes,Missed Shot,Jump Shot,Missed,3,24,221,100,MISS Johannes 24' 3PT Jump Shot,,
1022600001,2026,2,PT08M35.00S,1611661323,CON,1643429,Kneepkens,Missed Shot,Jump Shot,Missed,3,0,232,36,MISS Kneepkens 3PT Jump Shot,,
1022600001,2026,2,PT08M24.00S,1611661313,NYL,204335,Laney-Hamilton,Made Shot,Pullup Jump shot,Made,2,11,-110,28,Laney-Hamilton 11' Pullup Jump Shot (4 PTS),40,13
1022600001,2026,2,PT08M10.00S,1611661323,CON,1643441,Beers,Missed Shot,Jump Shot,Missed,2,15,26,144,MISS Beers 15' Jump Shot,,
1022600001,2026,2,PT08M02.00S,1611661323,CON,1643429,Kneepkens,Made Shot,Jump Shot,Made,3,0,230,10,Kneepkens 3PT Jump Shot (3 PTS) (Van Lith 1 AST),40,16
1022600001,2026,2,PT07M27.00S,1611661313,NYL,1627668,Stewart,Made Shot,Turnaround Jump Shot,Made,2,14,-134,55,Stewart 14' Turnaround Jump Shot (12 PTS) (Johannes 2 AST),43,16
1022600001,2026,2,PT07M04.00S,1611661323,CON,1642817,Van Lith,Made Shot,Jump Shot,Made,3,0,-208,106,Van Lith 3PT Jump Shot (5 PTS) (Kneepkens 1 AST),43,19
1022600001,2026,2,PT06M42.00S,1611661313,NYL,1629546,Johannes,Made Shot,Jump Shot,Made,3,26,-77,246,Johannes 26' 3PT Jump Shot (9 PTS) (Astier 4 AST),46,19
1022600001,2026,2,PT06M34.00S,1611661323,CON,1641649,Miller,Made Shot,Jump Shot,Made,2,15,-145,6,Miller 15' Jump Shot (4 PTS) (Rivers 3 AST),46,21
1022600001,2026,2,PT06M25.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Driving Layup Shot,Missed,2,5,44,24,MISS Stewart 5' Driving Layup,,
1022600001,2026,2,PT06M17.00S,1611661323,CON,1641649,Miller,Missed Shot,Running Pull-Up Jump Shot,Missed,3,24,-191,145,MISS Miller 24' 3PT Running Pull-Up Jump Shot,,
1022600001,2026,2,PT06M07.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Jump Shot,Missed,3,26,6,261,MISS Stewart 26' 3PT Jump Shot,,
1022600001,2026,2,PT05M55.00S,1611661323,CON,1642800,Morrow,Made Shot,Jump Shot,Made,2,19,-156,108,Morrow 19' Jump Shot (4 PTS) (Van Lith 2 AST),46,23
1022600001,2026,2,PT05M41.00S,1611661313,NYL,1627668,Stewart,Made Shot,Driving Finger Roll Layup Shot,Made,2,4,19,38,Stewart 4' Driving Finger Roll Layup (14 PTS) (Laney-Hamilton 2 AST),48,23
1022600001,2026,2,PT05M16.00S,1611661323,CON,1642800,Morrow,Missed Shot,Turnaround Jump Shot,Missed,2,9,45,81,MISS Morrow 9' Turnaround Jump Shot,,
1022600001,2026,2,PT05M03.00S,1611661313,NYL,1629546,Johannes,Missed Shot,Jump Shot,Missed,3,24,196,143,MISS Johannes 24' 3PT Jump Shot,,
1022600001,2026,2,PT04M54.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Jump Shot,Missed,3,25,201,146,MISS Stewart 25' 3PT Jump Shot,,
1022600001,2026,2,PT04M40.00S,1611661323,CON,1642800,Morrow,Missed Shot,Hook Bank Shot,Missed,2,6,-47,39,MISS Morrow 6' Hook Bank Shot,,
1022600001,2026,2,PT04M27.00S,1611661323,CON,1641649,Miller,Made Shot,Layup Shot,Made,2,2,17,6,Miller 2' Layup (6 PTS) (Rivers 4 AST),49,25
1022600001,2026,2,PT03M58.00S,1611661313,NYL,1627673,Jones,Missed Shot,Jump Shot,Missed,3,25,-233,77,MISS Jones 25' 3PT Jump Shot,,
